,age,gender,city,position,experience,germany_experience,work_level,main_tech,other_tech,yearly_salary,vacation_days,emp_state,contract_duration,main_language,company_size,company_type,covid_lost,first_word
0,26,Male,Munich,Software Engineer,5.0,3.0,Senior,TypeScript,"Kotlin, Javascript / Typescript",80000.0,30.0,full-time,Unlimited contract,English,51-100,Product,No,TypeScript
1,29,Male,Berlin,Software Engineer,12.0,6.0,Lead,Javascript / Typescript,"Javascript / Typescript, Docker",120000.0,30.0,freelancer,Temporary contract,English,101-1000,Product,Yes,Javascript
2,37,Male,Berlin,Backend Developer,17.0,6.0,Senior,C# .NET,".NET, SQL, AWS, Docker",62000.0,29.0,full-time,Unlimited contract,English,101-1000,Product,No,C
3,32,Male,Berlin,DevOps,5.0,1.0,Senior,"AWS, GCP, Python,K8s","Python, AWS, Google Cloud, Kubernetes, Docker",76000.0,30.0,full-time,Unlimited contract,English,11-50,Startup,No,AWS
4,24,Male,Berlin,Frontend Developer,5.0,1.0,Senior,Typescript,Javascript / Typescript,65000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No,Typescript
5,29,Male,Berlin,Backend Developer,8.0,2.0,Senior,PHP,"SQL, AWS, Docker",56000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No,PHP
6,32,Female,Hamburg,Data Engineer,2.0,2.0,Junior,Aws Hadoop Postgre Typescript,"Python, Kotlin, Javascript / Typescript, SQL, AWS",52500.0,30.0,full-time,Unlimited contract,German,101-1000,Consulting / Agency,No,Aws
7,49,Male,Berlin,Software Engineer,25.0,11.0,Senior,C++,"Python, C/C++, SQL",100000.0,24.0,freelancer,Temporary contract,English,11-50,Product,Yes,C
8,34,Male,Berlin,Software Engineer,14.0,5.0,Senior,Typescript,"PHP, Javascript / Typescript, AWS",70000.0,28.0,full-time,Unlimited contract,English,11-50,Startup,No,Typescript
9,29,Male,Hamburg,Backend Developer,7.0,3.0,Middle,Ruby,"Go, Kubernetes, Docker",60350.0,31.0,full-time,Unlimited contract,English,1000+,Product,No,Ruby
10,34,Male,Berlin,Mobile Developer,11.0,5.0,Lead,kotlin,"Kotlin, Javascript / Typescript, AWS, Google Cloud, Kubernetes, Docker",80000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No,kotlin
11,34,Male,Berlin,Software Architect,15.0,9.0,Lead,NodeJS,"Javascript / Typescript, SQL, Go, AWS, Kubernetes, Docker, Terraform",100000.0,24.0,full-time,Unlimited contract,English,1000+,Product,No,NodeJS
12,25,Male,Berlin,Software Engineer,5.0,2.0,Senior,Javascript,"Javascript / Typescript, AWS, Docker",65000.0,28.0,full-time,Unlimited contract,German,1000+,Product,No,Javascript
13,59,Male,Berlin,Backend Developer,30.0,30.0,Senior,Java,"Kotlin, Java / Scala, SQL",69000.0,28.0,full-time,Unlimited contract,German,101-1000,Product,No,Java
14,36,Male,Berlin,Software Engineer,17.0,2.0,Lead,PHP,"Python, C/C++, Javascript / Typescript, SQL, Go, AWS, Docker",70000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No,PHP
15,38,Male,Berlin,Team Lead,18.0,4.0,Lead,iOS,"Swift, AWS",80000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,Yes,iOS
16,24,Male,Berlin,DevOps,6.0,3.0,Senior,Kubernetes,"Python, AWS, Google Cloud, Kubernetes, Docker",75000.0,27.0,full-time,Unlimited contract,English,101-1000,Product,No,Kubernetes
